,born,year,meter,lang,X,Y
57722,1853.0,1897.0,I4,cs,-1.7007017,-3.2255633
63053,1875.0,1910.0,I4,cs,-0.8333052,-2.8603613
65275,1878.0,1906.0,I4,cs,-2.4598527,-2.5406342
39088,1864.0,1912.0,I4,cs,-2.7090037,-2.4717815
63953,1875.0,1928.0,I4,cs,-2.3590717,-2.6804268
42726,1857.0,1892.0,I4,cs,-2.6355128,-2.4140637
62204,1883.0,1904.0,I4,cs,-0.75528395,-2.1944592
60526,1837.0,1874.0,I4,cs,-2.4926457,-2.5810046
39268,1864.0,1887.0,I4,cs,-1.9397433,-3.4446838
56517,1853.0,1895.0,I4,cs,-2.061302,-3.1825337
63957,1883.0,1924.0,I4,cs,-1.9189854,-2.715425
29270,1835.0,1888.0,I4,cs,-2.3094263,-3.360818
42102,1864.0,1938.0,I4,cs,-2.0542874,-3.0202444
39885,1864.0,1915.0,I4,cs,-2.5384238,-2.6049118
42195,1864.0,1931.0,I4,cs,-2.0088265,-3.412792
60523,1837.0,1874.0,I4,cs,-2.5063987,-2.34207
64102,1884.0,1923.0,I4,cs,-1.8586648,-2.8491614
63192,1889.0,1918.0,I4,cs,-1.6094486,-2.2961404
31948,1863.0,1899.0,I4,cs,-2.518896,-2.6955929
65459,1887.0,1943.0,I4,cs,-1.8444299,-2.4051402
53931,1853.0,1883.0,I4,cs,-2.5896823,-2.6926208
36974,1847.0,1913.0,I4,cs,-2.1391866,-3.2599328
65115,1867.0,1967.0,I4,cs,-2.0852766,-3.076215
39507,1864.0,1893.0,I4,cs,-2.5662606,-2.5383258
66899,1868.0,1898.0,I4,cs,-1.7836777,-3.5643961
45212,1846.0,1869.0,I4,cs,-2.5390577,-2.4860415
39468,1864.0,1931.0,I4,cs,-0.52790105,-2.5155444
24574,1868.0,1896.0,I4,cs,-0.38201505,-2.2304502
52699,1846.0,1872.0,I4,cs,-2.1571126,-2.7779193
63730,,1910.0,I4,cs,-1.3563063,-3.1116068
40019,1864.0,1927.0,I4,cs,-2.221343,-3.1295168
39276,1864.0,1887.0,I4,cs,-2.5315008,-2.583896
52582,1858.0,1884.0,I4,cs,-2.4161878,-2.387059
34477,1866.0,1894.0,I4,cs,-2.2105532,-3.4953654
62185,1883.0,1903.0,I4,cs,-1.9795258,-2.9940033
61938,1847.0,,I4,cs,-2.1363647,-2.6951346
42103,1864.0,1938.0,I4,cs,-2.5610924,-2.571959
25470,1871.0,1934.0,I4,cs,-0.68926126,-2.9131198
61159,1880.0,1917.0,I4,cs,-0.68551356,-2.2642908
62235,1886.0,1948.0,I4,cs,-2.438167,-2.6392994
64861,1864.0,1902.0,I4,cs,-2.2868714,-3.181312
57279,1853.0,1878.0,I4,cs,-1.7793951,-3.5449615
34045,1861.0,1889.0,I4,cs,-2.3148365,-2.760009
51556,1804.0,1870.0,I4,cs,-2.6221242,-2.5907834
39387,1864.0,1934.0,I4,cs,-2.0559232,-3.0332975
26306,1877.0,1918.0,I4,cs,-0.19451785,-2.4832535
30459,1835.0,1883.0,I4,cs,-2.0178993,-3.6413891
29483,1835.0,1901.0,I4,cs,-1.8719487,-3.7224152
61074,1881.0,1926.0,I4,cs,-0.7797529,-2.241826
62403,1872.0,1909.0,I4,cs,-1.1295463,-2.59338
40641,1864.0,1935.0,I4,cs,-2.1534865,-2.8220263
39499,1864.0,1893.0,I4,cs,-2.1188123,-3.1538897
26354,1877.0,1918.0,I4,cs,-2.1383212,-3.2446668
25192,1873.0,1896.0,I4,cs,-1.2292742,-2.848171
52093,1853.0,1884.0,I4,cs,-2.5806994,-2.6386888
44519,1834.0,1868.0,I4,cs,-1.7746974,-3.0684443
39874,1864.0,1915.0,I4,cs,-2.0639675,-3.6520283
47605,1812.0,1852.0,I4,cs,-0.5843118,-2.319028
24765,1800.0,1823.0,I4,cs,-2.2902796,-3.0616934
44935,1875.0,1935.0,I4,cs,-1.150741,-2.3390076
44883,1875.0,1895.0,I4,cs,-1.7702895,-3.2612758
61470,1884.0,1904.0,I4,cs,-1.769186,-2.0338073
27193,1855.0,1874.0,I4,cs,-2.432476,-2.448491
56619,1853.0,1900.0,I4,cs,-1.9806486,-3.138743
25809,1858.0,1933.0,I4,cs,-2.2388344,-3.0617096
39999,1864.0,1927.0,I4,cs,-1.9687568,-2.968612
65755,1877.0,1910.0,I4,cs,-2.2978678,-2.2664275
33598,1859.0,1889.0,I4,cs,-2.3408194,-3.0641432
58363,1803.0,1843.0,I4,cs,-1.1454881,-2.0696683
31856,1863.0,1892.0,I4,cs,-2.3091924,-2.465126
30228,1835.0,1908.0,I4,cs,-1.9953967,-3.7065387
67445,1873.0,1938.0,I4,cs,-2.3979409,-3.3339083
23678,1868.0,1891.0,I4,cs,-0.4372909,-3.21684
40048,1864.0,1927.0,I4,cs,-2.107103,-3.2315874
24043,1869.0,1905.0,I4,cs,-1.9157684,-2.5619211
66902,1868.0,1898.0,I4,cs,-2.6350458,-2.462861
54674,1853.0,1889.0,I4,cs,-2.0298052,-3.345228
63004,1875.0,1894.0,I4,cs,-1.7912567,-2.417053
26175,1858.0,1936.0,I4,cs,-1.1538992,-2.5108685
56268,1853.0,1881.0,I4,cs,-1.8728114,-3.5577104
65031,1867.0,1958.0,I4,cs,-2.313701,-2.4659436
57889,1853.0,1888.0,I4,cs,-2.1243458,-3.496874
50020,1845.0,1907.0,I4,cs,-1.955861,-3.0125256
55192,1853.0,1893.0,I4,cs,-1.7908169,-3.6592212
30230,1835.0,1908.0,I4,cs,-2.110885,-3.6294873
30217,1835.0,1908.0,I4,cs,-1.8460665,-3.6347876
29278,1835.0,1888.0,I4,cs,-2.24119,-3.675961
27946,1815.0,1841.0,I4,cs,-1.0414712,-2.497682
39930,1864.0,1915.0,I4,cs,-2.3151343,-2.5960877
23661,1868.0,1889.0,I4,cs,-1.9889745,-3.1893559
60678,1838.0,1868.0,I4,cs,-2.5177515,-2.510678
36257,1860.0,1880.0,I4,cs,-2.5671978,-2.6173778
37625,1868.0,1894.0,I4,cs,-0.5776902,-3.0836596
56931,1853.0,1876.0,I4,cs,-2.198516,-3.3371048
52218,1877.0,1902.0,I4,cs,-0.64526665,-2.131592
26506,1877.0,1900.0,I4,cs,-0.6169658,-2.4481642
60201,1861.0,1883.0,I4,cs,-2.0066266,-3.504677
40023,1864.0,1927.0,I4,cs,-2.1821356,-3.2036388
50459,1845.0,1897.0,I4,cs,-2.175888,-3.2115262
62053,1873.0,1907.0,I4,cs,-2.3939593,-3.2650347
33263,1859.0,1930.0,I4,cs,-2.435828,-2.5122762
26334,1877.0,1927.0,I4,cs,-1.9203124,-2.6122854
27092,1877.0,1928.0,I4,cs,-0.4540463,-2.4022224
41169,1864.0,1904.0,I4,cs,-2.125462,-3.1414466
53663,1853.0,1900.0,I4,cs,-2.108891,-2.9944754
50565,1864.0,1921.0,I4,cs,-1.9761976,-2.8291311
41760,1864.0,1905.0,I4,cs,-1.9425455,-3.2311335
38526,1877.0,1908.0,I4,cs,-2.5242648,-2.5067258
42211,1864.0,1931.0,I4,cs,-0.49352202,-2.768223
67539,1873.0,1938.0,I4,cs,-2.205683,-3.3805234
51152,1864.0,1930.0,I4,cs,-2.1817162,-3.0151823
62181,1883.0,1912.0,I4,cs,-1.242709,-2.4367492
60206,1861.0,1883.0,I4,cs,-1.8375778,-3.218174
45587,1850.0,1870.0,I4,cs,-2.5588365,-2.4165215
62535,1869.0,1901.0,I4,cs,-1.441516,-3.219263
49473,1845.0,1909.0,I4,cs,-1.9763299,-3.2163565
24233,1873.0,1932.0,I4,cs,-1.9388064,-2.27595
38875,1862.0,1911.0,I4,cs,-2.0003884,-3.341147
51150,1864.0,1930.0,I4,cs,-2.4540088,-2.5277843
62218,1883.0,1904.0,I4,cs,-1.968558,-2.7501652
25399,1871.0,1895.0,I4,cs,-2.370873,-2.4813278
29496,1835.0,1901.0,I4,cs,-2.183702,-3.3802395
27011,1877.0,1924.0,I4,cs,-1.3814152,-1.4532737
63905,1885.0,1909.0,I4,cs,-1.8920417,-2.7722154
66980,1873.0,1902.0,I4,cs,-2.093393,-3.7109647
45560,1847.0,1870.0,I4,cs,-2.1634674,-3.1244738
63393,1883.0,1937.0,I4,cs,-2.0835268,-2.997109
31170,1874.0,1897.0,I4,cs,-1.7733359,-3.1877043
48062,1853.0,1883.0,I4,cs,-2.4638429,-2.5501363
39969,1864.0,1915.0,I4,cs,-2.4360929,-3.1625388
36762,1847.0,1871.0,I4,cs,-2.4230897,-2.5133646
66673,1883.0,1906.0,I4,cs,-2.3212957,-2.5576115
38748,1877.0,1930.0,I4,cs,-2.5739532,-2.5595984
40331,1864.0,1891.0,I4,cs,-2.0517304,-2.5918317
38666,1877.0,1901.0,I4,cs,-2.0179977,-3.7982361
27141,1855.0,1874.0,I4,cs,-2.2338758,-2.5400805
57887,1853.0,1888.0,I4,cs,-2.0599058,-3.5495896
25105,1836.0,1875.0,I4,cs,-1.5606171,-2.2202752
48562,1861.0,1923.0,I4,cs,-2.231741,-3.138752
38186,1877.0,1899.0,I4,cs,-2.4065776,-2.4522045
41831,1864.0,1928.0,I4,cs,-1.7983189,-2.7460375
38501,1877.0,1908.0,I4,cs,-2.5640566,-2.4043875
27947,1815.0,1841.0,I4,cs,-0.72624487,-2.2273216
56607,1853.0,1899.0,I4,cs,-1.9734381,-3.3503318
48577,1861.0,1923.0,I4,cs,-2.2707362,-3.3340347
64692,,1900.0,I4,cs,-2.0211592,-3.3241947
49713,1845.0,1891.0,I4,cs,-2.4493673,-2.4574912
57731,1853.0,1897.0,I4,cs,-0.20235564,-2.3034153
54381,1853.0,1880.0,I4,cs,-2.3089437,-3.2886896
32520,1855.0,1929.0,I4,cs,-1.7256062,-1.8723443
25776,1858.0,1933.0,I4,cs,-2.1910903,-3.2150512
23918,1833.0,1958.0,I4,cs,-2.4054725,-2.7751396
54632,1853.0,1897.0,I4,cs,-1.8402183,-2.8563142
30570,1835.0,1902.0,I4,cs,-2.2122033,-3.5148916
63068,1875.0,1904.0,I4,cs,-2.3266456,-3.2824082
39361,1864.0,1934.0,I4,cs,-2.3957534,-2.963206
26363,1877.0,1930.0,I4,cs,-2.3475187,-3.220195
41620,1864.0,1935.0,I4,cs,-2.3690336,-3.0168045
48554,1861.0,1923.0,I4,cs,-2.1210623,-3.0099573
50824,1864.0,1891.0,I4,cs,-2.2288115,-3.2446089
62313,1889.0,1911.0,I4,cs,-1.0847793,-2.5097516
