Lo giglio quand’è colto tost’è passo,;0W10W1W0W10W1W0W1xW
da poi la sua natura lui no è giunta;0W1W0W1W010W1W0_0W1xW
ed io dacunche son partuto un passo;0W1W010W1W010_0W1xW
da voi, mia donna, dolemi ogni giunta:;0W1W0W10W100_10W1xW
Perché d’amare ogni amadore passo,;01W010_10_0010W1xW
in tante alteze lo mio core giunta;0W10_010W0W0W10W1xW
così mi fere Amor, Ovunque passo,;01W0W10W01W 010W1xW
com’aghila quand’a la caccia è giunta. ;0W100W1W0W0W10_0W1xW
     Oi lasso me, che nato fui in tal punto,;0W10W1W 0W10W1_0W0W1xW
s’unque no amasse se non voi, Chiù gente!;10W0_010W0W0W1W 1W1xW
Questo saccia madonna da mia parte: ;10W10W010W0W0W1xW
in prima che vi vidi ne fui pronto,;0W10W1W0W10W0W1W1xW
serviivi ed inoraivi a tutta gente;010_0W0010_0W10W1xW
da voi, bella, lo mio core non parte.;0W1W 10W 0W0W10W0W1xW
;
Sì come il sol, che manda la sua spera;0W10_0W1W 0W10W0W0W1xW
e passa per lo vetro e no lo parte,;0W10W0W0W10_0W0W0W1xW
e l’altro vetro che le donne spera,;0W10W10W1W0W10W1xW
che passa gli occhi e va da l’altra parte, ;0W10W0_10_0W1W0W10W1xW
     così l’Amore fere là ove spera;01W010W10W1_10W1xW
e mandavi lo dardo da sua parte:;1W010W0W10W0W0W1xW
fere in tal loco che l’omo non spera,;10_0W1W10W0W10W0W1xW
8passa per gli ochi e lo core diparte. ;10W0W0_1W0W0W10W01xW
     Lo dardo de l’Amore là ove giunge,;0W10W0W010W1_10W1xW
da poi che dà feruta sì s’aprende;0W1W0W1W010W1W01xW
di foco, c’arde dentro e fuor non pare ;0W10W10W10_0W1W0W1xW
     e li due cori insemola li giunge:;0W0W1W10_0100W0W1xW
de l’arte de l’amore sí gli aprende,;0W10W0W010W1W0_01xW
e face l’uno e l’altro d’amor pare.;0W10W10_0W10W01W1xW
;
Or come pote sí gran donna entrare;0W10W10W1W0W10_01xW
per gli occhi mei che sí piccioli sone?;0W0_10W1W0W0W100W1xW
e nel mio core come pote stare,;0W0W0W10W10W10W1xW
che ’nentr’esso la porto laonque i’ vone? ;1W0W10W0W10W10_0W1xW
     Loco laonde entra già non pare,;10W100W10W1W0W1xW
ond’io gran meraviglia me ne done;0W1W0W0010W0W0W1xW
ma voglio lei a lumera asomigliare,;0W10W1_0W010W001xW
8e gli ochi mei al vetro ove si pone. ;0W0_10W1W0W10_10W0W1xW
     Lo foco inchiuso poi passa di fore;0W10_010W0W10W0W1xW
lo suo lostrore, sanza far rottura:;0W1W010W 10W1W01xW
così per gli ochi mi pass’a lo core, ;01W0W0_10W0W10W0W1xW
     no la persona, ma la sua figura.;0W0W010W 1W0W1W01xW
Rinovellare mi voglio d’amore,;00010W0W10W01xW
poi porto insegna di tal criatura.;0W10W010W0W1W01xW
;
Molti amadori la lor malatia;10_001 0W0W1W001xW
portano in core che ’n vista non pare,;100_0W10W0W10W0W1xW
ed io non posso sí celar la mia;0W1W 0W10W1W01W0W1xW
ch’ella non paia per lo mio penare;10W0W10W0W0W1W01xW
     però che son sotto altrui segnoria,;01W0W0W10_01W001xW
né di meve non ho niente a fare,;1W0W10W0W1W10W0W1xW
se non quanto madonna mia vorría,;0W0W1 0W010W1W01xW
ch’ella mi pote morte e vita dare. ;10W0W10W10_0W10W1xW
     Su’è lo core e suo son tutto quanto,;0_1W0W10W0W1W0W10W1xW
e chi non ha consiglio da suo core,;0W1W0W1W010W0W0W1xW
non vive infra la gente como deve ;0W10_10W0W10W10W1xW
     cad io non sono mio né più né tanto,;0W1W0W10W1W0W1W0W1xW
se non quanto madonna è de mi fore;0W0W10W010_0W0W0W1x
ed uno poco di spirito è ’n meve.;0W10W10W0W100_0W1xW
;
Donna, vostri sembianti mi mostraro;10W 10W010W0W01xW
isperanza d’amore e benvolenza,;0010W010_0W101xW
ed io sovr’ogni gioia lo n’ho caro;0W0W1W10W10W0W0W1xW
lo vostro amore, e far vostra piagenza. ;0W10_010_0W1W10W01xW
     Or vi mostrate irata, dunqu’ è raro;1W0W010_010W 10_0W1xW
senza ch’io pecchi darmi penitenza,;10W0W10W10W001xW
e fatt’avete de la penna caro,;0W10_010W0W0W10W1xW
come nocchier c’ha falsa canoscenza. ;10W01W0W10W001xW
     Disconoscenza ben mi par che sia;10010W1W0W1W0W1xW
la conoscenza che non ha fermeze,;0W0010W1W0W1W01xW
che si rimuta per ogni volere ;1W0W010W0W10W01xW
     dunque non siete voi in vostra balía,;10W0W10W1_0W 10W01XW
né in altrui ch’aia ferme prodeze,;1W0W01W10W10W01xW
e non avrete bon final gioire.;0W0W010W1W01W01xW
;
Ogn’omo ch’ama de’ amar lo suo onore;0W10W10W0_01W0W0_01xW
e de la donna che prende ad amare;0W0W0W10W0W10_0W01xW
è folle chi non è soferitore,;0W10W1W0W1W0001xW
chè la natura de’ l'omo isforzare,;1W0W010W0W100_01xW
     e non de’ dire ciò ch’egli ave in core,;0W0W0W10W0W10_10_0W1xW
ché la parola non pò ritornare:;1W0W010W0W1W001xW
e da la gente tenut’è migliore;0W0W0W10W01W1W01xW
