LEt ynne juwn (de Sinn' oone' oore' ig Duyn,;0W10W1W 0W1W10_10_0W1W
Nacht-wâdsters eag belitsen mey yen Wolck',;0W10W1W 010W1W0W1W
Fijld, wetter, luft oer-teyn mey tjuester bruyn);1W10W 1W01W0W10W1W
Siet Reonts oon' Strân, in wâlde' uwt herte-kolck,;0W1W0W1W 0W10_0W10W1W
Yen triene-gjealp dy lanz her wangen del;0W101W 0W1W0W10W1W
Roon, wiet en hiet in biet in spliet her fel.;1W1W0W1W 0W1W0W1W0W1W
O Friesche! (sey-se') in dear mey wird'-se stom,;0W10W 10_0W1W0W10W1W
In jae beschaet, in laey ynn' swijme' az dea.;0W1W01W 0W1W0W10_0W1W
O Friesche! (seys-s') da-se hette weer bekôm);0W10W10W 10W10W1W01W
O 't hert bejout m', hoe 's, ljeaf, dijn Reonts ijnn' nea!;0W1W01W 1W1W0W1W0W1W
Reonts, eren, Reonts, dijn hert, dijn siel, dijn sin,;1W10W1W 0W1W0W1W0W1W
Reonts litste, ljeaf, ynne' wean fen freamde Min.;
Fljueg hinne' oer-drovig suchtjen sonder eyn,;1W10_01 0W10W10W1W
Reyts, reyts yn 't hert fen him dy Reonts forjit;1W1W0W1W 0W1W0W1W01W
(:Wierom ick tuwzen tuwzen trienen weyn:);01W0W10W 10W10W1W
Om fijnne-min, dy him, spoar-bjuester, rit.;0W101W 0W1W010W1W
O Friesche! koe 'k mijn trienen yn dijn bloed;0W10W1W 0W10W1W0W1W
Trog-mingje 'k wit ick recke dijn gemoed.;010W1W 0W10W1W01W
Mar 't iz om naet al het ick kley oef gâl,;0W1W0W1W 0W1W0W1W0W1W
De Goden habbet, ljeaf, (och!) doz forsjoen,;0W10W10W 1W0W1W01W
(It ty, it ty to goe naet to dijn fâl:);0W1W0W1W0W1W 1W0W0W1W
Dat jae dit bjuester freamd Djier oon dy joen'.;0W1W0W1 0W0W1W0W0W1W
Ick rop, ick rop oone' Hijmmel in bejear;0W1W0W1W 10_10W1W01W
Sijn tjuwg, ljeaf, dat ick om dijn ljeafde stear.;0W1W1W0W1W 0W0W10W1W
Ho schoe ick libbje! 'k fiel dijn hert in sin;0W1W0W10W 1W0W1W0W1W
Ljeaf, eren rjuecht in sljuecht oon my forbuwn,;1W10W1W 0W1W0W1W01W
Nu fest oon dizz' blier-eage Meeremin,;0W1W0W1W 010W101W
Dy (hoe-se' eack sjongt) jae 's duwbbeld falsk ynn' gruwn.;1W10_0W1W 0W10W1W0W1W
O 't tjuefter graef mijn winsch'! 't ljeacht bin ick sed,;0W10W1W 0W1W1W0W0W1W
Om dy mijn treast, trog Mercurs floyt' forret,;0W1W0W1W 0W10W1W01W
De sill'ge Deugd iz klear fen uwz forteyn.;0W10W1W 0W1W0W1W01W
k Sjogh mey de Gods-tjienst spot in toeyl bedrieuwen,;1W0W0W10W1W0W1W01xW
k Sjogh hovird, Nooz-wijz, Wean-wit'er op klieuwen,;
In schoerren, trog 't hier-kleauwen sonder eyn.;0W10W 1W010W10W1W
In loyts ick ford, it hert wirt my trog-dolge,;0W1W0W1W0W1W0W1W01xW
k Sjog 't heylig' rjuecht, trog onrjuecht, sterck forfolge,;1W10W1W 0W1W0W1W01xW
t Gewelt dat drieut 't onnosele' fore swiep',;
k Sjog wreetheyts fuwl in lilck hyer triomfeerjen,;0W10W1W 0W1W0W101xW
Ik sjog mey wrijt in spijt de Free fexceerjen,;0W1W0W1W 0W1W0W1W01xW
k Sjog layts in goech wjueck-drayen az in Ljeap'.;0W1W0W1W 010W1W0W1W
Ho schoe in from, rjuecht-uwt, seft-sinnig minsche,;0W1W0W1W 01W010W1xW
Dy naet az free, rjuecht, ljeafde in Goads-freez winsche,;0W1W0W1W 1W10_0W10W1xW
Yn docken tijd in stuwn ijn docken Lân;0W10W1W0W1W 0W10W1W
By swerren, flockjen, beestig' bjealgerye,;0W10W10W 10W1W01W
In oef ick bleau, het kin ick oorz ferwachtje;0W1W0W1W 0W1W0W1W0W1xW
Az pleage' op pleage', uwz suwnen, ney ick achtje,;0W10_0W1 0_0W10W1W0W1xW
Meytse' uwz to fijne' yerd, Wetter, Luft in Fjoer:;10_1W0W10_1W 10W1W0W1W
t Swird blixemmet, de roeren hear ick tongerjen,;1W100W 0W10W1W0W1xxW
De wijlde Djier, wijd-gappjend' ney uwz hongerjen,;0W10W1W 010W1W0W1xxW
Lanst, ick fortjog, 'k blieu langer naet in uwre'.;1W0W01W 0W10W1W01xW
Sape' y fortjea, ney 'k her, Gôd wol jo liede.;10_0W01W 0W1W1W0W0W1xW
Mar hertse' in wird, swier holle', eer dat wy schiede,;0W10_0W1W 0W10_1W0W0W1xW
Rin naet jon Lân, mar tjog de wrâd uwt. Hey!;0W1W0W1W 0W1W0W1W0W1W
Y dwane' az 't Hert, az 't schetten iz, sil 't rinne;0W10_0W1W 0W10W1W0W1xW
Trog Bosck in Beamte' oer fjild in heyde hinne,;0W1W0W1 0_0W1W0W10W1xW
Dogge', al wier 't komt, it bringt sijn lyen mey.;10_0W0W1W 0W1W0W10W1W
Y gnorje doz, het wol y 't Lân bykibbje,;0W10W1W 0W1W0W1W01xW
Gong uwt jo salm, wol y fornoegge libbje.;1W0W0W1W 1W0W010W1xW
Salm binne wy uwz eyn fortriet in pleag'.;1W00W1W 0W1W01W0W1W
d'Oprjuechte deughd let yerzen, stiel nog fjoer-wirck;010W1W 0W10W1W0W1xW
Mar stiet allijck in Klippe', oef getten moer'-wirck,;0W1W01W 0W10_0W10W1xW
Dat wijck 't nog schrickt foor storm nog swiere-fleag.;0W1W0W1W 0W1W0W101W
