Vnd du wirst auch bey meiner Buhlschafft stehen /;0W0W1W0W0W1 0W10W1xW
O Delia / du Bildnuß aller Ziehr:;0W100W 0W10W10W1W
Ich wil auch dich durch meine Verß′ erhöhen;0W1W0W1W0W1 0W1W01xW
Sey nicht erzürnt / Asterie / mein Leben /;0W1W01W 0100W0W1xW
Weil ich anjetzt so sehr weit von dir bin /;0W1W01W 1W0W1W0W0W1W
Daß ich mich hab′ in andre Huld ergeben /;0W1W0W1W0W1 0W1W01xW
Vnd frembde Gunst mir kommen in den Sinn.;0W10W1W 0W10W1W0W1W
Ich habe dich in jhren Augen funden:;0W10W1W0W1 0W10W1xW
Dein Angesicht′ und rosenrother Mund /;0W101W 0W1010W1W
Dein schönes Haar ist so in jhr verbunden /;0W10W1W 0W1W0W1W01xW
Daß ich sie nicht für dir erkennen kundt′.;0W1W0W1W0W1W 010W1W
Ich fandt in jhr was ich bey dir verlassen;0W1W0W1W0W1W 0W1W01xW
Ich fand in jhr dich so gebildet ein /;0W1W0W1W0W1W 010W1W
Daß ich vermeyn′ ich könne sie nicht hassen;0W1W01W 0W10W1W0W1xW
Ich müsse denn auch dir zu wider seyn.;0W10W1W0W1W 0W10W1W
O Delia / du Spiegel meiner Frewden /;0W100W 0W10W10W1xW
Du Ebenbild der schönsten in der Welt /;0W101W0W1 0W1W0W1W
Vergönne doch daß sich mein′ Augen weiden /;010W1W 0W1W0W10W1xW
Weil deine Ziehr mein Leben in sich helt;0W10W1W 0W10W1W0W1W
Weil jhr Gesicht′ ist so in dich geschrieben /;0W1W01W 0W1W0W1W01xW
Daß sie jhr selbst nicht ähnlicher seyn kan /;0W1W0W1W 0W100W0W1W
Wie wolt′ ich dich / mein′ Augenlust / nicht lieben?;0W1W0W1W 0W101W0W1xW
Ach nimb mich doch von jhrentwegen an.;1W0W0W1W 0W1010W1W
So wil ich auch mit steten Versen ehren;0W1W0W1W0W1 0W10W1xW
Dein′ hohe Ziehr / vnd edlen Augenschein.;0W10W1W 0W10W101W
So lange man von Liebe nur wird hören /;0W10W1W 0W10W1W0W1xW
Wird man zügleich′ auch deiner inndenck seyn.;1W0W10W0W 10W10W1W
AV weh! ich bin in tausend tausend Schmertzen;0W1W0W1W 0W10W10W1xW
Vnd tausend noch! die Seufftzer sind vmbsunst;0W10W1W 0W10W1W01W
Herauff geholt kein Anschlag / List noch Kunst;01W01W 0W10W1W0W1W
Verfengt bey jhr. wie wann im kühlen Mertzen;01W0W1W 0W1W0W10W1xW
    Der Schnee zugeht durch Krafft der Himmel-kertzen /;0W1W01W 0W1W0W10W1xW
Vnd netzt das Feld so feuchtet meine Brunst;0W1W0W1W 0W10W10W1W
Der Zehren Bach / die noch die minste Gunst;0W10W1W 0W1W0W10W1W
Nicht außgebracht. Mein' Augen sind dem Hertzen;0W101W 0W10W1W0W1xW
    Ein schädlichs Gifft: das Dencken an mein Liecht;0W10W1W 0W10W1W0W1W
Macht daß ich jrr' / vnd weiß mich selber nicht /;1W0W0W1W 0W1W0W10W1W
Macht daß ich bin gleich einem blossen Scheine /;1W0W0W1W 1W00W10W1xW
    Daß kein Gelenck vnd Gliedmaß weder Krafft;0W1W01W 0W10W10W1W
Noch Stärcke hat / die andern keinen Safft;0W10W1W 0W10W10W1W
Noch Blut nicht mehr / kein Marck nicht die Gebeine.;0W1W0W1W 0W1W0W0W01xW
Und wunder sein seine gleichlosen thaten.;0W10W0W10W 100W1xW
Alſo daß billich er durch ſeine thaten;01W0W10W0W 0W10W1xW
Ein Spiegel iſt fuͤr Fuͤrſten vnd Soldaten.;0W10W1W 0W10W1W01xW
Vnd ſinget ſtets: Moritz/ durch deine thaten;0W10W1W 10W0W10W1xW
Biſtu der Ruhm der Fuͤrſten vnd Soldaten;10W0W1W 0W10W1W01xW
Wie tröstlich ists wann eine grosse Schar;0W10W1W 0W10W10W1W
Wann Völcker sind zusammen in Gefahr;0W10W1W01 0W1W01W
Es beissen uns die Thränen nich so sehr;0W10W1W 0W10W1W0W1W
Die Pein ist froh wann jhrer sind noch mehr;0W1W0W1W 0W10W1W0W1W
Des Ungemachs von dem kein Mensch ist frey;0W101W0W1W 0W1W0W1W
