Voi ch'ascoltate in rime sparse il suono;1W0010_0W10W10_0W1xW 
di quei sospiri ond'io nudriva 'l core;0W0W010_01W010W1xW
in sul mio primo giovenile errore;0W0W0W10W001W01xW
quand'era in parte altr'uom da quel ch'i' sono,;010_0W10_01W0W1W0W1xW
del vario stile in ch'io piango et ragiono;0W10W10_0W0W10_0W01xW
fra le vane speranze e 'l van dolore,;0W0W10W010_0W1W01xW
ove sia chi per prova intenda amore,;00W1W0W0W10_010_01x
spero trovar pietà, nonché perdono.;10W01W01W01W01xW
Ma ben veggio or sÌ come al popol tutto;0W0W10_1W0W10_0W10W1xW
favola fui gran tempo, onde sovente;100W1W0W10_10W01xW
di me medesmo meco mi vergogno;0W1W010W10W0W01xW
et del mio vaneggiar vergogna è 'l frutto,;0W0W1W001W010_0W1xW
e 'l pentersi, e 'l conoscer chiaramente;0W010_0W010W001xW
che quanto piace al mondo è breve sogno.;0W10W10_0W10_0W10W1xW
Per fare una leggiadra sua vendetta;0W10_00W010W1W01xW
et punire in un dÌ ben mille offese,;0W010_0W0W1W0W10_01xW
celatamente Amor l'arco riprese,;00010_01W10W01xW
come huom ch'a nocer luogo et tempo aspetta.;00_1W0W10W10_0W10_01x
Era la mia virtute al cor ristretta;10W0W0W010_0W1W01xW
per far ivi et ne gli occhi sue difese,;0W1W10_0W0W0_10W0W01xW
quando 'l colpo mortal là giù discese;10W10W01W0W1W01xW
ove solea spuntarsi ogni saetta.;10W01W010_10W01xW
Però, turbata nel primiero assalto,;01W010W0W010_01xW
non ebbe tanto né vigor né spazio;0W10W10W0W01W0W1xW
che potesse al bisogno prender l'arme,;0W010_0W010W10W1xW
overo al poggio faticoso et alto;010_0W10W0010_0W1xW
ritrarmi accortamente da lo strazio;010_00010W0W0W1xW
del quale oggi vorrebbe, et non pò, aitarme.;0W10_10W010_0W0W1_01xW
Era il giorno ch'al sol si scoloraro;10_0W10W0W1W0W001xW
per la pietà del suo factore i rai,;0W0W01W0W0W010_0W1W
quando i' fui preso, et non me ne guardai,;00_1W0W10_0W1W0W0W01W
ché i be' vostr'occhi, donna, mi legaro.;0_0W1W010W10W0W01W
Tempo non mi parea da far riparo;10W0W0W01W0W0W01xW
contra colpi d'Amor: però m'andai;10W10W01W01W01W
secur, senza sospetto onde i miei guai;01W10W010_10_0W0W1W
nel commune dolor s'incominciaro.;0W010W01W0001xW
Trovommi Amor del tutto disarmato;010_01W0W10W001xW
et aperta la via per gli occhi al core,;0W010W0W1W0W0_10_01xW
che di lagrime son fatti uscio et varco:;0W0W100W0W10_10_0W1xW
però al mio parer non li fu honore;01_0W0W01W0W0W1W01xW
ferir me de saetta in quello stato,;01W0W0W010_0W10W1xW
a voi armata non mostrar pur l'arco.;0W1W010W0W01W0W1xW
Que' ch'infinita providentia et arte;1W0010W0010_0W1xW
mostrò nel suo mirabil magistero,;01W0W0W010W001xW
che críò questo et quell'altro hemispero,;0W01W10_0W010W01xW
et mansueto più Giove che Marte,;0W0010W0W10W0W1xW
vegnendo in terra a 'lluminar le carte;010_0W10_001W0W1xW
ch'avean molt'anni già celato il vero,;01W010W0W010_0W1xW
tolse Giovanni da la rete et Piero,;10W010W0W0W10_0W1xW
