           Cient’anne arreto ch’era viva Vava,;0W10_010W 10W10W1xW
           nnante che ffosse Vartommeo Coglione,;10W0W10W 101W01xW
           dicea no cierto che l’auciello arava;01W0W10W 1W010_01xW
           a ttiempo che sguigliaje lo Sciatamone.;0W10W1W 01W0W001xW
           Nc’era lo Rre Marruocco che s’armava,;10W0W1W010W 1W01xW
           panzera, lanza longa e toracone,;100W 10W1 0_0W001xW
           e po’ jeva a ttrovà li Mammalucche;0W1W10_0W01W 0W101xW
           co balestre, spigarde, e co ttrabucche.;0W010W 01 0_0W1W01xW
           Chillo fu tiempo che Berta filava,;10W0W10W 0W10W01xW
           Lo chillo doce vivere a l’antica!;0W10W10W 100_0W01xW
           Portave brache, e nullo delleggiava!;010W1 0_0W10W101xW
           “Quatt’ova a Cola!” te dicea la Píca.;1W10_0W10W 0W01W0W1xW
           Si pe la via na femmena passava,;1W0W0W1W 0W100W01xW
           le dicevano: “Ddio la benedica!”.;0W0100W 1W0W001xW
           Mo, s’uno parla, e chella se curruzza.;0W10W10_0W10W0W01xW
           Chi te pienze che ssia? Monna Maruzza.;1W0W10W0W1W 10W01xW
           O bell’ausanza, e ddove si’ squagliata?;0W1W010_0W10W1W01xW
           Pecchè non tuorne, o doce tiempo antico?;01W0W1 0_0W10W10_01xW
           Pigliave co lo bisco, a na chiammata,;010W0W0W10_0W0W01xW
           cient’aucelluzze a no trunco de fico!;1W0010_0W0W10W0W1xW
           Le ffemmene, addorose de colata,;0W100_0 010W0W01xW
           ’n dobretto s’aunevano a no vico,;010W 0100W0W0W1xW
           danzanno tutte ’n chietta, (oh bona fede!);010W10W10_0W10W1xW
           la Chiarantana e po’ lo Sponta-pede.;0W0010_0W1W0W101xW
           Dove se trova mai tanta lianza!;10W0W10W1W 10W01xW
           Lo marito sì ccaro a la mogliera,;0W010W1W10_0W0W01xW
           che a mano a mano ’ntravano a na danza;0_0W10_0W10W 100_0W0W1xW
           co chella ciaramella tant’autera!;0W10W0010W 1W01xW
           Vedive, a chioppa a chioppa, na paranza;010_0W10_0W10W 0W01xW
           co chell’antica e semprece manera!;0W1W010_0W100W01xW
           Lo viecchio a chillo tiempo era zitiello,;0W10_0W10W10_10W01xW
_x000c_            co le brache stringate e ’n jopponciello.;0W0W10W010_0W101xW
            Chillo non era tiempo ammagagnato!;10W0W10W10_0001xW
            Le ffemmene assettate mmiezo chiazza,;0W100_0010W 10W1xW
            non c’era n’ommo ch’avesse parlato,;0W10W10W 010W01xW
            ca vernava ’n cajola la cajazza.;0W010W010W 0W01xW
            Chill’ommo, che ’n chill’anno era nzorato,;0W10W 1W0W10_10W01xW
            era tenuto pe gallo de razza.;10W010W 0W10W0W1xW
            Ll’uno co ll’autro lo mostrav’a dito:;10W0W10W 0W01W0W1xW
