,born,year,meter,lang,X,Y
57722,1853.0,1897.0,I4,cs,2.5034368,3.876138
63053,1875.0,1910.0,I4,cs,3.890842,4.243265
65275,1878.0,1906.0,I4,cs,2.2701623,2.8411207
39088,1864.0,1912.0,I4,cs,2.204217,2.6526358
63953,1875.0,1928.0,I4,cs,2.311407,2.7543359
42726,1857.0,1892.0,I4,cs,2.3712893,2.5669165
62204,1883.0,1904.0,I4,cs,3.9189801,3.6028388
60526,1837.0,1874.0,I4,cs,2.2327402,2.8091059
39268,1864.0,1887.0,I4,cs,2.1651127,3.9580576
56517,1853.0,1895.0,I4,cs,2.1704843,3.7412798
63957,1883.0,1924.0,I4,cs,2.5960777,3.2664926
29270,1835.0,1888.0,I4,cs,2.2318313,4.2366366
42102,1864.0,1938.0,I4,cs,2.2765396,3.666005
39885,1864.0,1915.0,I4,cs,2.1834805,2.8584836
42195,1864.0,1931.0,I4,cs,2.2259972,4.007598
60523,1837.0,1874.0,I4,cs,2.4316661,2.5883842
64102,1884.0,1923.0,I4,cs,2.3743763,3.5375013
63192,1889.0,1918.0,I4,cs,2.3978765,3.301448
31948,1863.0,1899.0,I4,cs,2.1813228,2.862584
65459,1887.0,1943.0,I4,cs,2.2855554,3.5031257
53931,1853.0,1883.0,I4,cs,2.2393575,2.9365513
36974,1847.0,1913.0,I4,cs,2.2934988,4.0129414
65115,1867.0,1967.0,I4,cs,2.030623,3.621301
39507,1864.0,1893.0,I4,cs,2.198091,2.705688
66899,1868.0,1898.0,I4,cs,2.2738853,4.4066615
45212,1846.0,1869.0,I4,cs,2.2009988,2.7451131
39468,1864.0,1931.0,I4,cs,4.0101476,4.3467426
24574,1868.0,1896.0,I4,cs,4.2835913,4.071233
52699,1846.0,1872.0,I4,cs,2.4429455,3.034833
63730,,1910.0,I4,cs,2.781449,4.007743
40019,1864.0,1927.0,I4,cs,2.1676667,3.603585
39276,1864.0,1887.0,I4,cs,2.0998049,2.8848639
52582,1858.0,1884.0,I4,cs,2.3952534,2.825025
34477,1866.0,1894.0,I4,cs,2.0046768,4.0823174
62185,1883.0,1903.0,I4,cs,2.2238634,3.7675407
61938,1847.0,,I4,cs,2.3375556,3.2665024
42103,1864.0,1938.0,I4,cs,2.1837428,2.773399
25470,1871.0,1934.0,I4,cs,3.8240516,3.9524884
61159,1880.0,1917.0,I4,cs,3.9068973,3.7809863
62235,1886.0,1948.0,I4,cs,2.483009,2.9574168
64861,1864.0,1902.0,I4,cs,2.0133097,3.7515132
57279,1853.0,1878.0,I4,cs,2.0408409,4.0644217
34045,1861.0,1889.0,I4,cs,2.263364,3.1309085
51556,1804.0,1870.0,I4,cs,2.2305253,2.7415154
39387,1864.0,1934.0,I4,cs,2.1922712,3.7299654
26306,1877.0,1918.0,I4,cs,4.1538386,4.3898735
30459,1835.0,1883.0,I4,cs,1.9206922,4.2541003
29483,1835.0,1901.0,I4,cs,2.3535814,4.7227297
61074,1881.0,1926.0,I4,cs,3.8147428,4.312857
62403,1872.0,1909.0,I4,cs,2.6427448,4.0273595
40641,1864.0,1935.0,I4,cs,2.1939557,3.3324978
39499,1864.0,1893.0,I4,cs,2.2268734,3.51866
26354,1877.0,1918.0,I4,cs,2.3069825,4.1341844
25192,1873.0,1896.0,I4,cs,2.3619983,4.20056
52093,1853.0,1884.0,I4,cs,2.1453927,2.8321388
44519,1834.0,1868.0,I4,cs,2.2600644,3.7806878
39874,1864.0,1915.0,I4,cs,2.1287973,4.201812
47605,1812.0,1852.0,I4,cs,4.2375402,4.63772
24765,1800.0,1823.0,I4,cs,2.2087944,3.5031884
44935,1875.0,1935.0,I4,cs,3.4578943,3.5325081
44883,1875.0,1895.0,I4,cs,2.3491468,3.9822066
61470,1884.0,1904.0,I4,cs,3.4334102,2.867547
27193,1855.0,1874.0,I4,cs,2.28251,2.880857
56619,1853.0,1900.0,I4,cs,2.599577,3.8109813
25809,1858.0,1933.0,I4,cs,2.269345,3.4854984
39999,1864.0,1927.0,I4,cs,2.3894699,3.9577792
65755,1877.0,1910.0,I4,cs,2.4689455,2.7706833
33598,1859.0,1889.0,I4,cs,1.9509643,3.5541291
58363,1803.0,1843.0,I4,cs,4.2078876,3.710625
31856,1863.0,1892.0,I4,cs,2.3054657,2.7897654
30228,1835.0,1908.0,I4,cs,2.0814486,4.287348
67445,1873.0,1938.0,I4,cs,1.79785,3.6574657
23678,1868.0,1891.0,I4,cs,2.5283883,4.490242
40048,1864.0,1927.0,I4,cs,2.186078,3.7542143
